table,field,type,required,default,description,references,example,introducedInSchemaVersion
reviewers,id,string,true,,Unique reviewer identifier,,reviewer-a91d9a9c-84c5-4f59-9b4e-be51a1a13ec7,4
reviewers,displayName,string,true,,Display name of reviewer,,自分,4
reviewers,isLocal,boolean,true,,Flag indicating if the reviewer is local owner,,true,4
reviewers,createdAt,string,true,,Timestamp of reviewer creation,,2026-08-23T11:00:00.000Z,4
reviewers,updatedAt,string,true,,Timestamp of reviewer last update,,2026-08-23T11:00:00.000Z,4
reviewers,sourceReviewerId,string,false,,Import元Shared Review Packageにおけるreviewer identity (local reviewer primary keyとは別物),,reviewer-remote123,4
media_assets,id,string,true,,Unique identifier of logical video asset,,vid-f64e28ab-b295-46cb-8d1b-123456789abc,3
media_assets,contentHash,string,true,,SHA-256 hash of entire file contents,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3
media_assets,hashAlgorithm,string,true,SHA-256,Hash algorithm name,,SHA-256,3
media_assets,quickHash,string,true,,Fast preliminary candidate hash,,q_10485760_1a89c8a98f7e8b8c,3
media_assets,hashStatus,string,true,pending,Hashing state (pending / calculating / completed / failed),,completed,3
media_assets,fileSize,number,true,,Reference file size in bytes,,10485760,3
media_assets,duration,number,true,,Duration of video in seconds,,123.45,3
media_assets,displayTitle,string,false,,Nullable user-set display title,,My Video Presentation,3
media_assets,genreId,string,true,genre-default,Genre reference,genres.id,genre-action,3
media_assets,thumbnailId,string,false,,ID reference to image store in IndexedDB,,img-vid-abc,3
media_assets,identityStatus,string,true,normal,Conflict state of logical asset (normal / conflict / provisional / verified),,normal,3
media_assets,identityConflictGroupId,string,false,,ID reference to the conflict group,,conflict-f64e28ab-b295-46cb-8d1b-123456789abc,3
media_assets,createdAt,string,true,,Timestamp of asset creation,,2026-08-16T12:00:00.000Z,3
media_assets,updatedAt,string,true,,Timestamp of asset last update,,2026-08-16T12:05:00.000Z,3
file_locations,id,string,true,,Unique file location identifier,,loc-9a2d3b4e-8f90-4c3d-be1f-123456789abc,3
file_locations,mediaAssetId,string,true,,Foreign key pointing to the media asset,media_assets.id,vid-f64e28ab-b295-46cb-8d1b-123456789abc,3
file_locations,directoryId,string,false,,Foreign key pointing to directory source,directory_sources.id,dir-e9c8b7a6,3
file_locations,relativePath,string,true,,Path relative to the directory source,,subfolder/video.mp4,3
file_locations,fileName,string,true,,File name with extension,,video.mp4,3
